City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3166,Wharton,US,84.0,clear sky,29.3116,-96.1027,"Countryside Inn Wharton, TX"
3169,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
3170,Henties Bay,,65.34,clear sky,-22.116,14.2845,Fishermans Guest House
3174,Keti Bandar,PK,82.76,clear sky,24.1447,67.4497,Haji laloo memon house
3175,Oranjemund,,60.06,clear sky,-28.55,16.4333,The Fisherman's Cove
3176,Pacific Grove,US,60.8,scattered clouds,36.6177,-121.9166,Lovers Point Inn
3177,Baculin,PH,78.6,overcast clouds,7.4525,126.5842,Shovy's Cove
3180,Nador,MA,62.6,overcast clouds,35.174,-2.9287,Hôtel La Giralda
3183,Copiapo,CL,64.4,scattered clouds,-27.3667,-70.3333,San Francisco de La Selva
3185,Camargo,MX,74.44,clear sky,27.6667,-105.1667,Hotel Santa Fe
3187,Golaghat,IN,76.28,scattered clouds,26.5167,93.9667,Ideal Hostel
3189,Cap Malheureux,MU,79.0,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
3193,Hualmay,PE,72.45,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
3195,Necochea,AR,64.0,clear sky,-38.5473,-58.7368,dyd -mar Hotel
3197,Cayenne,GF,78.8,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
3199,Mayumba,GA,79.68,overcast clouds,-3.432,10.6554,LIKWALE LODGE
3200,Piacabucu,BR,83.53,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
3202,Ambikapur,IN,78.48,overcast clouds,23.1167,83.2,STARiHOTEL Ambikapur
3203,Pasighat,IN,72.3,broken clouds,28.0667,95.3333,Siang Guest House
3204,Impfondo,CG,78.98,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
3206,Ifanadiana,MG,66.22,broken clouds,-21.3,47.6333,Quinta Samay
3207,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
3209,Savannakhet,LA,85.15,broken clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
3210,Odweyne,SO,80.04,overcast clouds,9.4092,45.064,Eng Hiirey House
3211,Mayo,US,64.99,clear sky,38.8876,-76.5119,Resorts Resource Group International
3212,Bengkulu,ID,75.72,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
3213,Tateyama,JP,60.01,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
3214,Fukue,JP,61.75,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
3215,Davila,PH,71.6,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
3217,Vieux Fort,LC,86.0,scattered clouds,13.7167,-60.95,QR Quality Rooms Cedar Palm Villa
3219,Babol,IR,60.46,overcast clouds,36.5513,52.679,Reza Hotel
3220,Mosetse,BW,69.24,clear sky,-20.75,26.65,Quinta Samay
3222,Kismayo,SO,82.45,overcast clouds,-0.3582,42.5454,Agan-Hotel
3223,Bull Savanna,JM,83.34,clear sky,17.8868,-77.5902,Big Red's
3225,Mackay,AU,68.0,broken clouds,-21.15,149.2,International Lodge Motel
3228,Kutum,SD,85.05,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
3230,Freetown,SL,81.14,few clouds,8.484,-13.2299,The Country Lodge Hotel
3231,Alice Town,BS,78.55,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
3232,Eyl,SO,83.57,scattered clouds,7.9803,49.8164,Amiin Hotel
3235,Plettenberg Bay,ZA,61.57,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
3236,Houma,US,82.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
3239,Sabha,LY,83.21,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
3244,Royan,FR,77.0,clear sky,45.6285,-1.0281,Hôtel Cordouan Thalassothérapie et Spa - Royan
3245,Oranjestad,AW,87.8,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
3246,Neiafu,TO,71.6,broken clouds,-18.65,-173.9833,Mystic Sands
3248,Loreto,MX,76.28,scattered clouds,22.2667,-101.9667,José de Jesús Velásquez mora
3249,Inhambane,MZ,71.89,clear sky,-23.865,35.3833,Oceano
3250,Bouca,CF,73.87,light rain,6.5105,18.2733,Quinta Samay
3253,Sinnamary,GF,78.42,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
3254,Jizan,SA,87.8,sand,17.3333,42.6667,شهدان. ابوالحجر
3255,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
3256,Lasa,IT,68.0,clear sky,46.6166,10.7002,Pension Feldgärtenhof
3257,Tautira,PF,80.6,light rain,-17.7333,-149.15,Pension Oaoa
3258,Tall Kayf,TR,75.2,clear sky,37.0833,41.0667,Quinta Samay
3259,Brebes,ID,77.58,clear sky,-6.8706,109.0369,HOTEL GRAND DIAN BREBES
3260,Bam,IR,80.49,clear sky,29.106,58.357,Bam Tourist Hotel
3261,Praya,CV,75.2,broken clouds,14.9215,-23.5087,LT Aparthotel
3264,Mecca,SA,88.25,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
3266,Namatanai,PG,78.57,broken clouds,-3.6667,152.4333,Namatanai Hotel
3267,Almenara,BR,84.04,scattered clouds,-16.1836,-40.6944,Pousada Estância
