City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,Portland,45.5234,-122.6762,82.99,21,20,3.44,US,2021-04-18 22:35:18
124,Nouadhibou,20.931,-17.0347,66.2,77,0,13.8,MR,2021-04-18 22:36:27
125,Puerto Padre,21.195,-76.6028,91.4,38,20,13.8,CU,2021-04-18 22:36:27
126,Atikokan,48.7555,-91.6216,32.81,88,100,13.71,CA,2021-04-18 22:36:27
127,Mount Pleasant,32.7941,-79.8626,75.2,64,1,8.93,US,2021-04-18 22:32:18
128,Anchorage,61.2181,-149.9003,53.6,32,20,5.75,US,2021-04-18 22:34:43
129,Ponta Do Sol,32.6667,-17.1,59.0,73,4,3.0,PT,2021-04-18 22:36:28
130,Bredasdorp,-34.5322,20.0403,66.2,82,60,8.05,ZA,2021-04-18 22:36:28
131,Talnakh,69.4865,88.3972,-17.01,89,68,1.72,RU,2021-04-18 22:36:28
132,Faanui,-16.4833,-151.75,82.69,69,9,12.44,PF,2021-04-18 22:36:29
133,Ust-Kuyga,70.0167,135.6,9.32,90,98,4.99,RU,2021-04-18 22:36:29
134,Cidreira,-30.1811,-50.2056,70.63,73,50,12.64,BR,2021-04-18 22:36:29
135,Sainte-Anne-Des-Monts,49.124,-66.4924,35.6,87,61,2.3,CA,2021-04-18 22:36:30
136,Saskylakh,71.9167,114.0833,3.69,92,97,8.9,RU,2021-04-18 22:36:30
137,Tilichiki,60.4667,166.1,30.76,94,98,1.41,RU,2021-04-18 22:36:30
138,Paamiut,61.994,-49.6678,27.39,67,100,10.74,GL,2021-04-18 22:36:31
139,Margate,51.3813,1.3862,43.0,82,37,1.01,GB,2021-04-18 22:34:15
140,Saint-Philippe,-21.3585,55.7679,77.0,78,90,11.5,RE,2021-04-18 22:36:31
141,San Jeronimo,-11.9472,-75.2829,53.67,69,58,6.38,PE,2021-04-18 22:36:31
142,Yerbogachen,61.2767,108.0108,15.53,85,85,5.79,RU,2021-04-18 22:36:31
143,Marienburg,54.0359,19.0266,48.0,73,93,5.03,PL,2021-04-18 22:36:32
144,Magadan,59.5667,150.8,32.99,95,98,7.25,RU,2021-04-18 22:36:32
145,Brae,60.3964,-1.353,44.6,87,100,13.8,GB,2021-04-18 22:36:32
146,Luderitz,-26.6481,15.1594,74.84,46,32,6.02,NA,2021-04-18 22:36:33
147,Mahebourg,-20.4081,57.7,78.8,89,75,11.5,MU,2021-04-18 22:36:33
